Country Name,Country Index
Afganistan,0
Albania,1
Algieria,2
Samoa Amerykańskie,3
Andora,4
Angola,5
Antigua i Barbuda,6
Argentyna,7
Armenia,8
Aruba,9
Australia,10
Austria,11
Azerbejdżan,12
Bahamy,13
Bahrajn,14
Bangladesz,15
Barbados,16
Białoruś,17
Belgia,18
Belize,19
Benin,20
Bermuda,21
Bhutan,22
Boliwia,23
Bośnia i Hercegowina,24
Botswana,25
Brazylia,26
Brytyjskie Wyspy Dziewicze,27
Brunei Darussalam,28
Bułgaria,29
Burkina Faso,30
Burundi,31
Kambodża,33
Kamerun,34
Kanada,35
Wyspy Zielonego Przylądka,32
Kajmany,36
Republika Środkowoafrykańska,37
Czad,38
Chile,39
Chiny,40
Kolumbia,41
Comoros,42
Republika Konga,44
Demokratyczna Republika Konga,43
Kostaryka,45
Wybrzeże Kości Słoniowej,46
Chorwacja,47
Kuba,48
Cypr,49
Republika Czeska,50
Dania,51
Dżibuti,52
Dominika,53
Republika Dominikany,54
Ekwador,55
Egipt, Republika Arabska,56
El Salvador,57
Gwinea Równikowa,58
Erytrea,59
Estonia,60
Etiopia,62
Wyspy Owcze,63
Fidżi,64
Finlandia,65
Francja,66
Polinezja Francuska,67
Gabon,68
Gambia,69
Gruzja,70
Niemcy,71
Ghana,72
Gibraltar,73
Grecja,74
Grenlandia,75
Grenada,76
Guam,77
Gwatemala,78
Gwinea,79
Gwinea-Bissau,80
Gujana,81
Haiti,82
Honduras,83
Hong Kong SAR, Chiny,84
Węgry,85
Islandia,86
Indie,87
Indonezja,88
Iran",89
Irak,90
Irlandia,91
Izrael,92
Włochy,93
Jamajka,94
Japonia,95
Jordania,96
Kazachstan,97
Kenia,98
Kiribati,99
Korea Północna,100
Korea Południowa,101
Kuwejt,102
Republika Kirgistów,103
Laos,104
Łotwa,105
Liban,106
Lesotho,107
Liberia,108
Libia,109
Litwa,110
Luksemburg,111
Makau,112
Północna Macedonia,138
Madagaskar,113
Malawi,114
Malezja,115
Malediwy,116
Mali,117
Malta,118
Wyspy Marshalla,119
Mauretania,120
Mauritius,121
Meksyk,122
Mikronezja,123
Moldova,124
Mongolia,125
Maroko,126
Mozambik,127
Myanmar,128
Namibia,129
Nauru,130
Nepal,131
Holandia,132
Nowa Kaledonia,133
Nowa Zelandia,134
Nikaragua,135
Niger,136
Nigeria,137
Mariany Północne,139
Norwegia,140
Oman,141
Pakistan,142
Palau,143
Panama,144
Papua Nowa Gwinea,145
Paragwaj,146
Peru,147
Filipiny,148
Polska,149
Portugalia,150
Portoryko,151
Katar,152
Rumunia,153
Federacja Rosyjska,154
Rwanda,155
St. Kitts and Nevis,171
Św. Lucia,172
St. Vincent i Grenadyny,173
Samoa,156
Wyspy Świętego Tomasza i Książęca,157
Arabia Saudyjska,158
Senegal,159
Serbia,160
Seszele,161
Sierra Leone,162
Singapur,163
Słowacja,164
Słowenia,165
Wyspy Salomona,166
Somali,167
Afryka Południowa,168
Hiszpania,169
Sri Lanka,170
Sudan,174
Suriname,175
Eswatini,61
Szwecja,176
Szwajcaria,177
Republika Syryjsko-Arabska,178
Tadżykistan,179
Tanzania,180
Tajlandia,181
Timor Wschodni,182
Togo,183
Tonga,184
Trynidad i Tobago,185
Tunezja,186
Turcja,187
Turkmenia,188
Wyspy Turks i Caicos,189
Tuvalu,190
Uganda,191
Ukraina,192
Zjednoczone Emiraty Arabskie,193
Wielka Brytania,194
Stany Zjednoczone,195
Urugwaj,196
Uzbekistan,197
Vanuatu,198
Wenezuela,199
Wietnam,200
Wyspy Dziewicze (U.S.),201
Jemen,202
Zambia,203
Zimbabwe,204
